Ei(GeV)	Ef	MPVHeMC	E_MPVHeMC	SigLHeMC	ESigLHeMC	SigGHeMC	ESigGHeMC	MPVHe	E_MPVHe		SigLHe		ESigLHe		SigGHe		ESigGHe
25.12	39.81   2.07643 0.00209536      0.0495969       0.00151764      0.0659556       0.00291406    2.03285 3.65598e-05     0.0639775       3.90925e-05     0.0415699       0.000130144
39.81	63.10   2.09981 0.00197144      0.0606129       0.00161812      0.0639172       0.00327647    2.04271 4.84978e-05     0.0706551       5.28166e-05     0.035809        0.000197457
63.10	100.0   2.11652 0.0019328       0.0673883       0.00164948      0.0651074       0.00335748    2.05185 7.05169e-05     0.0728198       8.88526e-05     0.0409113       0.000281391
100.0	158.5   2.144   0.00196619      0.0807168       0.00185266      0.060337        0.00399422    2.06437 0.000102484     0.0817126       0.000114748     0.0303036       0.000497998
158.5	251.2   2.168   0.00206611      0.0877753       0.00191105      0.0646242       0.00410755    2.07521 0.000151511     0.0849876       0.000175604     0.0409803       0.000533505
251.2	398.1   2.20044 0.00221673      0.102841        0.00214063      0.0525258       0.00493483    2.08981 0.000242689     0.0910831       0.000286995     0.0357724       0.00110035
398.11  630.96  2.24244 0.00285635      0.116387        0.00276249      0.0451939       0.00802656    2.10627 0.000378573     0.0962843       0.000462611     0.0426089       0.00155851
630.96  1000.0  2.2947  0.00351869      0.128276        0.00357028      0.0659013       0.0085013     2.12628 0.00057693      0.104024        0.000701057     0.0469025       0.00229194
1000.0  1585.0  2.34338 0.0038159       0.145079        0.00380574      0.0579681       0.0100461     2.15045 0.000892487     0.114642        0.00107178      0.0539192       0.00339243
1585.0  2512.0  2.42547 0.00441433      0.169624        0.00438555      0.0577318       0.0119976     2.18126 0.00140098      0.131096        0.00161422      0.0588356       0.00542458
2512.0  3981.0  2.51861 0.00501283      0.195549        0.00545632      0.0691395       0.0124379     2.2126  0.00214301      0.142496        0.00252686      0.0744613       0.0076478
3981.0  6309.6  2.62266 0.00520276      0.232418        0.00287865      0.000100003     0.000817667   2.25909 0.00358373      0.161203        0.00493733      0.108253        0.0125398
6309.6  10000.0 2.77408 0.00531122      0.274016        0.00246835      0.000100002     0.000756233   2.31438 0.0063082       0.187898        0.00840675      0.0935131       0.0315591
10000.0 31623.0 3.01913 0.00532684      0.35896         0.00278721      1.11423e-05     6.24373e-05   2.38872 0.00990746      0.236595        0.0104134       0.115869        0.0446311
