Ei(GeV)	Ef	MPVHeMC	E_MPVHeMC	SigLHeMC	ESigLHeMC	SigGHeMC	ESigGHeMC	MPVHe	E_MPVHe		SigLHe		ESigLHe		SigGHe		ESigGHe
25.12	39.81   2.03564 0.00193788      0.0490292       0.00140024      0.0608515       0.00272412    2.03285 3.65598e-05     0.0639775       3.90925e-05     0.0415699       0.000130144
39.81	63.10   2.04808 0.00242139      0.0686597       0.0041785       0.0370758       0.0108383    2.04271 4.84978e-05     0.0706551       5.28166e-05     0.035809        0.000197457
63.10	100.0   2.05084 0.00235614      0.064612        0.0041749       0.0551434       0.0051831    2.05185 7.05169e-05     0.0728198       8.88526e-05     0.0409113       0.000281391
100.0	158.5   2.06575 0.00169134      0.0773403       0.00156602      0.0420336       0.00387261    2.06437 0.000102484     0.0817126       0.000114748     0.0303036       0.000497998
158.5	251.2   2.07859 0.00172596      0.0837515       0.0015844       0.0428432       0.00411591    2.07521 0.000151511     0.0849876       0.000175604     0.0409803       0.000533505
251.2	398.1   2.09411 0.00185025      0.0906628       0.00173923      0.0371312       0.00480637    2.08981 0.000242689     0.0910831       0.000286995     0.0357724       0.00110035
398.11  630.96  2.11411 0.00230164      0.101438        0.0021324       0.0223881       0.00973558    2.10627 0.000378573     0.0962843       0.000462611     0.0426089       0.00155851
630.96  1000.0  2.13729 0.00272354      0.111006        0.00263331      0.0305788       0.0100453     2.12628 0.00057693      0.104024        0.000701057     0.0469025       0.00229194
1000.0  1585.0  2.14902 0.00286423      0.116194        0.00266251      0.0389429       0.0080506     2.15045 0.000892487     0.114642        0.00107178      0.0539192       0.00339243
1585.0  2512.0  2.18345 0.0031663       0.132897        0.00294786      0.0218429       0.015984      2.18126 0.00140098      0.131096        0.00161422      0.0588356       0.00542458
2512.0  3981.0  2.21343 0.00332758      0.141234        0.00321506      0.0404548       0.0101471     2.2126  0.00214301      0.142496        0.00252686      0.0744613       0.0076478
3981.0  6309.6  2.25436 0.00326478      0.162508        0.00187631      1.00294e-05     0.0834975     2.25909 0.00358373      0.161203        0.00493733      0.108253        0.0125398
6309.6  10000.0 2.32453 0.00336758      0.18911         0.00321791      0.0303873       0.0165178     2.31438 0.0063082       0.187898        0.00840675      0.0935131       0.0315591
10000.0 31623.0 2.42846 0.00300683      0.231385        0.00333041      0.0320476       0.0268877     2.38872 0.00990746      0.236595        0.0104134       0.115869        0.0446311
