Ei(GeV)	Ef	MPVHeMC	E_MPVHeMC	SigLHeMC	ESigLHeMC	SigGHeMC	ESigGHeMC	MPVHe	E_MPVHe		SigLHe		ESigLHe		SigGHe		ESigGHe
39.81	63.10   247.336 0.472038        12.6974 0.421887        17.3319 0.83562     252.688 0.0195954       19.0419 0.0214198       10.6364 0.0817369
63.10	100.0   249.304 0.473244        12.4982 0.42124         17.3739 0.8611      254.401 0.0275661       19.7609 0.0313854       10.6254 0.116703
100.0	158.5   250.325 0.422842        13.9383 0.416571        16.7815 0.848538    255.649 0.0669966       20.0353 0.0740724       10.5908 0.256594
158.5	251.2   251.751 0.395712        15.1812 0.418304        14.2047 1.04232     256.404 0.0994879       20.4587 0.112465        11.1178 0.369815
251.2	398.1   252.967 0.406819        15.9058 0.448373        14.3046 1.1201      257.68  0.15806         21.5047 0.172946        10.3457 0.616891
398.11  630.96  253.113 0.460979        17.1556 0.523212        11.7968 1.43166     258.769 0.235938        22.0588 0.257801        9.68783 0.967054
630.96  1000.0  254.859 0.534908        18.9488 0.620689        10.3002 1.81869     259.203 0.299441        21.4067 0.35179         10.1342 1.18114
1000.0  1585.0  253.996 0.508327        18.139  0.593928        10.1677 1.77057     259.488 0.407952        20.9621 0.503748        10.1739 1.64522
1585.0  2512.0  256.028 0.507162        16.4634 0.552509        13.2041 1.39663     259.08  0.382118        19.6815 0.622461        13.0836 1.13148
2512.0  3981.0  255.204 0.471008        17.3104 0.505235        9.88787 1.42034     260.156 0.527228        19.3423 0.900106        13.624  1.54885
3981.0  6309.6  255.937 0.438186        16.3971 0.483387        12.9555 1.21841     260.562 0.482706        20.6069 0.639112        10.8497 1.54407
6309.6  10000.0 259.018 0.40209         17.4162 0.446666        11.413  1.11646     261.76  0.624838        19.3407 0.828616        10.7532 2.00592
10000.0 31623.0 262.474 0.278262        17.4545 0.302652        12.8605 0.676168    261.534 0.679646        19.0288 0.981388        11.3185 2.23738
31623.0 100000. 257.085 0.266532        18.0196 0.313452        12.0057 0.82397     262.099 4.06523         20.0104 6.07248         12.2334 10.5217
