Ei(GeV)	Ef	MPVHMC	E_MPVHMC	SigLHMC	    	ESigLHMC	SigGHMC	    	ESigGHMC	MPVH	E_MPVH	    	SigLH	    	ESigLH	    	SigGH	    	ESigGH
39.81	63.10   57.7464 0.0313015       6.07921 0.0300721       4.57101 0.0685307    58.8486 0.00347347      5.73388 0.00532055      6.71325 0.00840426
63.10	100.0   57.9332 0.045923        5.58535 0.0554544       5.28737 0.102767     59.0731 0.00531208      5.93746 0.00831565      6.74907 0.0131047
100.0	158.5   57.9526 0.0487675       5.68328 0.0591628       5.18294 0.111154     59.4034 0.00945319      5.66534 0.0187892       6.26467 0.0329324
158.5	251.2   58.065  0.0492643       5.41189 0.0665891       5.40369 0.11215      59.6823 0.01405         5.54939 0.0286378       6.34813 0.0484404
251.2	398.1   58.0736 0.0504149       5.39419 0.0688842       5.42142 0.11552      60.0353 0.0240679       5.62653 0.0442454       5.87073 0.0861263
398.11  630.96  58.0808 0.0588145       5.32916 0.0795212       5.41804 0.133107     60.1987 0.0339173       5.46809 0.064678        5.9475  0.121453
630.96  1000.0  58.1031 0.0759755       4.94236 0.0998373       5.80812 0.160721     60.3278 0.0470384       5.32227 0.0927145       5.90869 0.170725
1000.0  1585.0  58.1751 0.0771442       5.07178 0.101453        5.47555 0.165298     60.4869 0.068823        5.4633  0.133261        5.76532 0.249487
1585.0  2512.0  58.1083 0.075798        4.93606 0.0981368       5.5531  0.15935      60.7483 0.0904156       5.00661 0.193225        6.32194 0.325241
2512.0  3981.0  58.3543 0.0761364       5.10806 0.100992        5.55295 0.165335     60.8318 0.122494        4.98978 0.249184        5.78553 0.428825
3981.0  6309.6  58.43   0.0782506       5.19971 0.104233        5.47138 0.173123     60.4825 0.169161        5.64671 0.250783        5.35206 0.514557
6309.6  10000.0 58.8939 0.0844969       5.24391 0.113364        5.56408 0.18699      61.0304 0.254673        5.21912 0.419615        6.55871 0.768883
10000.0 31623.0 60.0613 0.0600685       5.52311 0.083203        5.55834 0.132357     60.8361 0.286355        5.60766 0.463113        5.65191 0.906689
31623.0 100000. 58.7762 0.200705        5.68673 0.211952        5.23858 0.575357     60.746  0.810992        4.28959 1.83624         7.49377 2.13424
