Ei(GeV)	Ef	MPVHeMC	E_MPVHeMC	SigLHeMC	ESigLHeMC	SigGHeMC	ESigGHeMC	MPVHe	E_MPVHe		SigLHe		ESigLHe		SigGHe		ESigGHe
25.12	39.81   2.07261 0.00181282      0.0550566       0.00134601      0.0726567       0.00281315   2.03367 3.47275e-05     0.0752475       3.44757e-05     0.0191369       0.000261461
39.81	63.10   2.09365 0.00193539      0.0603926       0.00145032      0.0781883       0.00298247   2.03966 4.73744e-05     0.077642        4.67084e-05     0.0199428       0.000352498
63.10	100.0   2.10253 0.00191943      0.0671764       0.00150286      0.0744415       0.00302712   2.04651 7.28132e-05     0.0803463       8.06358e-05     0.0205042       0.000543359
100.0	158.5   2.11936 0.00191826      0.0726834       0.00159543      0.0736682       0.00326789   2.05298 0.000100694     0.0813739       0.000106876     0.0297717       0.00056323
158.5	251.2   2.14079 0.00202213      0.074635        0.00170611      0.0845105       0.0033143    2.06196 0.000151528     0.0840754       0.000167909     0.0345903       0.000780454
251.2	398.1   2.16529 0.00226814      0.0805437       0.00189155      0.0925191       0.00348982   2.07284 0.000234742     0.0884389       0.000272956     0.0409605       0.00112792
398.11  630.96  2.19684 0.00274039      0.0927763       0.00237862      0.0884765       0.00444081   2.08631 0.00035868      0.0925847       0.000441288     0.048109        0.00160916
630.96  1000.0  2.23201 0.00326372      0.100255        0.00289758      0.102729        0.00511111   2.10264 0.000527883     0.0967592       0.00065468      0.0555696       0.0022143
1000.0  1585.0  2.26891 0.00360205      0.119502        0.00316987      0.0988502       0.00555905   2.12185 0.000793236     0.102399        0.000982939     0.0671087       0.00297764
1585.0  2512.0  2.32192 0.00375821      0.144147        0.00333362      0.080692        0.00564693   2.14329 0.00122484      0.108872        0.0014703       0.0865959       0.00418412
2512.0  3981.0  2.38384 0.00408488      0.159274        0.00377954      0.0852344       0.00718222   2.17109 0.00182882      0.119485        0.00220125      0.0934815       0.00613642
3981.0  6309.6  2.45855 0.00405171      0.170671        0.00405745      0.132802        0.00698952   2.20149 0.00285137      0.136064        0.003663        0.099692        0.0101201
6309.6  10000.0 2.56015 0.00420395      0.218166        0.00442618      0.123332        0.00935427   2.23806 0.00549934      0.14044 0.00636758      0.145439        0.0181227
10000.0 31623.0 2.72985 0.0036815       0.293692        0.003855        0.101915        0.00965618   2.30297 0.00864212      0.179577        0.00788287      0.180444        0.0252293
31623.0 100000. 3.18237 0.00946508      0.470032        0.00457075      1.00006e-05     0.943571     2.41827 0.0423963       0.317089        0.057407        0.232812        0.180328
