Ei(GeV)	Ef	MPVHeMC	E_MPVHeMC	SigLHeMC	ESigLHeMC	SigGHeMC	ESigGHeMC	MPVHe	E_MPVHe		SigLHe		ESigLHe		SigGHe		ESigGHe
25.12	39.81   2.03293 0.00160589      0.0557578       0.00245023      0.032042        0.00522574     2.03367 3.47275e-05     0.0752475       3.44757e-05     0.0191369       0.000261461
39.81	63.10   2.04811 0.00673933      0.0668821       0.00520419      0.0254389       0.0302191      2.03966 4.73744e-05     0.077642        4.67084e-05     0.0199428       0.000352498
63.10	100.0   2.05254 0.00237734      0.0697741       0.00342272      0.0281581       0.00866492     2.04651 7.28132e-05     0.0803463       8.06358e-05     0.0205042       0.000543359
100.0	158.5   2.05984 0.0033932       0.0730001       0.00463404      0.0299633       0.0101337      2.05298 0.000100694     0.0813739       0.000106876     0.0297717       0.00056323
158.5	251.2   2.06631 0.00353896      0.0715845       0.00541091      0.0464833       0.00678741     2.06196 0.000151528     0.0840754       0.000167909     0.0345903       0.000780454
251.2	398.1   2.08072 0.00361033      0.082103        0.00498385      0.0499677       0.00624682     2.07284 0.000234742     0.0884389       0.000272956     0.0409605       0.00112792
398.11  630.96  2.09232 0.00330901      0.0844832       0.0057444       0.0523203       0.0111683      2.08631 0.00035868      0.0925847       0.000441288     0.048109        0.00160916
630.96  1000.0  2.10836 0.00428718      0.0847085       0.00908549      0.0684836       0.0138609      2.10264 0.000527883     0.0967592       0.00065468      0.0555696       0.0022143
1000.0  1585.0  2.12674 0.00386351      0.0937515       0.00849223      0.077221        0.0144924      2.12185 0.000793236     0.102399        0.000982939     0.0671087       0.00297764
1585.0  2512.0  2.15257 0.00270302      0.107255        0.00247223      0.0492611       0.00424438     2.14329 0.00122484      0.108872        0.0014703       0.0865959       0.00418412
2512.0  3981.0  2.19099 0.00289235      0.109167        0.00269627      0.0747338       0.00522305     2.17109 0.00182882      0.119485        0.00220125      0.0934815       0.00613642
3981.0  6309.6  2.23495 0.00271611      0.120054        0.00263089      0.0836727       0.00480084     2.20149 0.00285137      0.136064        0.003663        0.099692        0.0101201
6309.6  10000.0 2.29871 0.00270184      0.140302        0.00248734      0.0780879       0.0050633      2.23806 0.00549934      0.14044 0.00636758      0.145439        0.0181227
10000.0 31623.0 2.40735 0.00216855      0.170689        0.00209373      0.0763006       0.00471372     2.30297 0.00864212      0.179577        0.00788287      0.180444        0.0252293
31623.0 100000. 2.69261 0.00300306      0.225104        0.00364622      0.125541        0.0104354      2.41827 0.0423963       0.317089        0.057407        0.232812        0.180328
