Ei(GeV)	Ef	MPVHMC	E_MPVHMC	SigLHMC	    	ESigLHMC	SigGHMC	    	ESigGHMC	MPVH	E_MPVH	    	SigLH	    	ESigLH	    	SigGH	    	ESigGH
25.12	39.81   1.01617 0.000228613     0.0546268       0.000199345     0.0302344       0.000534953   1.02183 1.57355e-05     0.0431977       1.70478e-05     0.0220744       3.93724e-05
39.81	63.10   1.02602 0.000290629     0.0600335       0.000252417     0.0303652       0.000721719   1.02666 2.41624e-05     0.04679 2.52767e-05     0.0236193       6.17778e-05
63.10	100.0   1.03823 0.000450387     0.0662537       0.000388077     0.0307645       0.001144      1.03197 3.80651e-05     0.0498203       3.92711e-05     0.0223939       0.000100014
100.0	158.5   1.05318 0.000520239     0.0736504       0.000436734     0.0289431       0.00146623    1.03958 6.1509e-05      0.0550228       6.12082e-05     0.0123264       0.000256737
158.5	251.2   1.07244 0.000583675     0.0826208       0.000493259     0.0323795       0.0016533     1.04765 0.000100084     0.0583239       0.000100405     0.0198988       0.000302719
251.2	398.1   1.09705 0.000673618     0.0931879       0.000563263     0.0347869       0.00197893    1.05927 0.000167809     0.0648507       0.000168145     0.00658612      0.00141962
398.11  630.96  1.12854 0.000886819     0.106579        0.000766429     0.0371928       0.00260868    1.0763  0.000268229     0.0735132       0.000187052     2.56775e-09     8.74466e-05
630.96  1000.0  1.16804 0.00132716      0.121309        0.00117456      0.0435459       0.00391741    1.09325 0.000450588     0.0804205       0.000313052     2.05548e-08     8.71495e-08
1000.0  1585.0  1.21425 0.00157911      0.139676        0.00139634      0.0476292       0.00441488    1.1217  0.000744292     0.0932576       0.000501021     7.53977e-10     5.37309e-08
1585.0  2512.0  1.27569 0.00185076      0.155687        0.00176969      0.0691534       0.00470661    1.15318 0.00127355      0.108684        0.00102465      2.59574e-08     6.15041e-08
2512.0  3981.0  1.34353 0.00204591      0.183521        0.00215662      0.0662002       0.00614759    1.19919 0.00208309      0.124646        0.00130136      4.7137e-10      5.32422e-08
3981.0  6309.6  1.4305  0.00245585      0.215006        0.00286522      0.0731981       0.00803489    1.25194 0.00380396      0.14953 0.00269159      7.7525e-10      9.89716e-08
6309.6  10000.0 1.54183 0.00309908      0.25142         0.00412102      0.0923359       0.0102373     1.31683 0.00764321      0.172236        0.00461558      1.18862e-08     8.26871e-08
10000.0 31623.0 1.70202 0.00253319      0.30134         0.00250951      0.0918452       0.00696253    1.44874 0.0136628       0.234344        0.00784339      2.51034e-10     9.76565e-08
31623.0 100000. 2.26113 0.0113906       0.54189 0.01592 0.137048        0.0722837       1.73135 0.0852029       0.326134        0.047861        1.60384e-09     5.77702e-08
