Ei(GeV)	Ef	MPVHMC	E_MPVHMC	SigLHMC	    	ESigLHMC	SigGHMC	    	ESigGHMC	MPVH	E_MPVH	    	SigLH	    	ESigLH	    	SigGH	    	ESigGH
25.12	39.81   1.02924 0.000211779     0.0423617       0.000172725     0.0235316       0.00046034     1.02792 1.81419e-05     0.0415571       1.84226e-05     0.0232733       4.2687e-05
39.81	63.10   1.03475 0.000245933     0.0470404       0.000204823     0.0176907       0.000675713    1.03451 2.69724e-05     0.0463618       2.62113e-05     0.0195069       7.2126e-05
63.10	100.0   1.04326 0.000361733     0.0519943       0.000295317     0.0100356       0.00163224     1.04183 4.2389e-05      0.050086        3.67725e-05     0.0196408       0.000100379
100.0	158.5   1.0528  0.000399095     0.0568262       0.000239297     0.000100001     0.05094        1.05114 6.71674e-05     0.0556373       6.25954e-05     0.0109612       0.000301554
158.5	251.2   1.06505 0.000433076     0.061809        0.000249829     5.20647e-07     6.70287e-05    1.0619  0.00011044      0.0599865       0.000104371     0.0125744       0.000485015
251.2	398.1   1.07961 0.000483088     0.0680623       0.000273589     4.76655e-07     8.2968e-05     1.07652 0.00018323      0.0664631       0.000120594     7.91215e-10     0.053812
398.11  630.96  1.09688 0.000618553     0.0755842       0.00035635      8.93401e-07     8.70145e-05    1.09581 0.000299225     0.0746061       0.000193301     1.18323e-09     5.02405e-05
630.96  1000.0  1.12163 0.000907173     0.0852637       0.000489485     7.85782e-07     5.04593e-05    1.12022 0.000501496     0.0836687       0.000313487     5.95588e-08     6.48112e-08
1000.0  1585.0  1.15186 0.00106569      0.0980555       0.000572591     7.33997e-10     5.22747e-05    1.15405 0.00084118      0.096652        0.000598798     4.79114e-11     9.49158e-08
1585.0  2512.0  1.19342 0.00118214      0.111363        0.000635639     7.73494e-09     9.74394e-05    1.19576 0.00138767      0.111626        0.000819413     8.83248e-08     8.20331e-08
2512.0  3981.0  1.24861 0.00137285      0.12849         0.000647879     1.06365e-09     7.99918e-05    1.24609 0.00242058      0.127711        0.00130867      3.30534e-08     6.60795e-08
3981.0  6309.6  1.31818 0.00168199      0.153272        0.000867046     1.24329e-06     7.41387e-05    1.32158 0.00468894      0.157478        0.00285001      1.66064e-08     5.42849e-08
6309.6  10000.0 1.40601 0.00207376      0.178403        0.00118741      9.99994e-05     5.01689e-05    1.39518 0.00776665      0.182615        0.00468915      4.36823e-08     5.7842e-08
10000.0 31623.0 1.58792 0.00200187      0.224528        0.00187039      0.0665752       0.00421221     1.57208 0.018845        0.257824        0.0114645       7.92422e-08     8.23707e-08
