E_kin_min    E_kin_max    E_kin_center Acceptance   
3.9811e+00   6.3096e+00   4.9834e+00   0.0000e+00   
6.3096e+00   1.0000e+01   7.8981e+00   1.5087e-04   
1.0000e+01   1.5849e+01   1.2518e+01   3.2256e-03   
1.5849e+01   2.5119e+01   1.9839e+01   1.3785e-02   
2.5119e+01   3.9811e+01   3.1443e+01   2.7578e-02   
3.9811e+01   6.3096e+01   4.9834e+01   4.2879e-02   
6.3096e+01   1.0000e+02   7.8981e+01   5.1579e-02   
1.0000e+02   1.5849e+02   1.2518e+02   5.9317e-02   
1.5849e+02   2.5119e+02   1.9839e+02   6.2941e-02   
2.5119e+02   3.9811e+02   3.1443e+02   6.5490e-02   
3.9811e+02   6.3096e+02   4.9834e+02   6.8484e-02   
6.3096e+02   1.0000e+03   7.8981e+02   6.9791e-02   
1.0000e+03   1.5849e+03   1.2518e+03   7.2662e-02   
1.5849e+03   2.5119e+03   1.9839e+03   7.4831e-02   
2.5119e+03   3.9811e+03   3.1443e+03   7.8534e-02   
3.9811e+03   6.3096e+03   4.9834e+03   8.1119e-02   
6.3096e+03   1.0000e+04   7.8981e+03   8.6431e-02   
1.0000e+04   1.5849e+04   1.2518e+04   8.9830e-02   
1.5849e+04   2.5119e+04   1.9839e+04   9.3325e-02   
2.5119e+04   3.9811e+04   3.1443e+04   9.9441e-02   
3.9811e+04   6.3096e+04   4.9834e+04   1.0451e-01   
6.3096e+04   1.0000e+05   7.8981e+04   1.1097e-01   
1.0000e+05   1.5849e+05   1.2518e+05   1.2094e-01   
1.5849e+05   2.5119e+05   1.9839e+05   1.2867e-01   
2.5119e+05   3.9811e+05   3.1443e+05   1.3212e-01   
3.9811e+05   6.3096e+05   4.9834e+05   1.3363e-01   
6.3096e+05   1.0000e+06   7.8981e+05   1.3210e-01   
1.0000e+06   5.0000e+06   2.0951e+06   1.1747e-01   
