E_min (GeV)         E_max (GeV)         E_c (GeV)           Background          Charge_selection    Isotope             Saturation corr     Tracking            Trigger             Unfolding           Statistical         Hadronic            
3.98107e+01         6.30957e+01         4.98335e+01         0.34951             1.67458             1.12979             0.00001             2.10000             3.00000             1.20247             0.01090             13.00000            
6.30957e+01         1.00000e+02         7.89808e+01         0.41036             1.67458             1.12979             0.00003             2.10000             3.00000             1.29250             0.01455             13.00000            
1.00000e+02         1.58489e+02         1.25176e+02         0.42034             1.67458             1.12979             0.00006             2.10000             3.00000             1.44984             0.01999             13.00000            
1.58489e+02         2.51189e+02         1.98391e+02         0.43446             1.67458             1.04715             0.00018             2.10000             3.00000             1.58108             0.03239             13.00000            
2.51189e+02         3.98107e+02         3.14428e+02         0.46901             1.67458             0.96203             0.00078             2.10000             3.00000             1.58108             0.04836             13.00000            
3.98107e+02         6.30957e+02         4.98335e+02         0.52534             1.67458             1.02193             0.00078             2.10000             3.00000             1.58108             0.06466             11.30724            
6.30957e+02         1.00000e+03         7.89808e+02         0.59720             1.67458             1.10295             0.00282             2.10000             3.00000             1.58108             0.09090             9.53209             
1.00000e+03         1.58489e+03         1.25176e+03         0.67021             1.67458             0.81759             0.00539             2.10000             3.00000             1.58108             0.14233             9.53209             
1.58489e+03         2.51189e+03         1.98391e+03         0.72513             1.67458             0.85312             0.01056             2.10000             3.00000             1.60084             0.18289             9.53209             
2.51189e+03         3.98107e+03         3.14428e+03         0.76276             1.67458             0.87513             0.01068             2.10000             3.00000             1.60084             0.27922             9.53209             
3.98107e+03         6.30957e+03         4.98335e+03         0.80953             1.67458             0.82809             0.05911             2.10000             3.00000             1.63498             0.42561             9.53209             
6.30957e+03         1.00000e+04         7.89808e+03         0.88123             1.67458             0.50779             0.05911             2.10000             3.00000             1.63498             0.56813             9.53209             
1.00000e+04         1.58489e+04         1.25176e+04         0.94599             1.67458             0.43142             0.05911             2.10000             3.00000             1.77776             0.65877             9.53209             
1.58489e+04         2.51189e+04         1.98391e+04         0.98036             1.67458             0.35829             0.10675             2.10000             3.00000             1.81204             0.97448             9.53209             
2.51189e+04         3.98107e+04         3.14428e+04         1.10192             1.67458             0.28821             0.13725             2.10000             3.00000             1.81204             1.19674             9.53209             
3.98107e+04         6.30957e+04         4.98335e+04         1.26936             1.67458             0.28821             0.13725             2.10000             3.00000             1.98460             1.70216             9.53209             
6.30957e+04         1.00000e+05         7.89808e+04         1.41731             1.67458             0.28821             0.13725             2.10000             3.00000             1.98460             2.42330             9.53209             
1.00000e+05         1.58489e+05         1.25176e+05         1.51981             2.26483             0.28821             1.25704             2.10000             3.00000             2.79250             3.81653             9.53209             
1.58489e+05         2.51189e+05         1.98391e+05         2.47058             3.18413             0.28821             2.49575             2.10000             3.00000             2.95093             5.59593             9.53209             
2.51189e+05         3.98107e+05         3.14428e+05         3.97074             3.18413             0.28821             2.49575             2.10000             3.00000             3.76888             7.77611             9.53209             
3.98107e+05         6.30957e+05         4.98335e+05         4.51813             3.18413             0.28821             4.36540             2.10000             3.00000             3.76888             11.02573            9.53209             
6.30957e+05         1.00000e+06         7.89808e+05         6.17368             3.18413             0.28821             4.42543             2.10000             3.00000             4.91371             14.61005            9.53209             
