Ei(GeV)	Ef	MPVHeMC	E_MPVHeMC	SigLHeMC	ESigLHeMC	SigGHeMC	ESigGHeMC	MPVHe	E_MPVHe		SigLHe		ESigLHe		SigGHe		ESigGHe
25.12	39.81  	2.07643	0.00209536	0.0495969	0.00151764	0.0659556	0.00291406	2.03115	3.5031e-05	0.063252	3.5636e-05	0.0605155	7.39475e-05
39.81	63.10  	2.09981	0.00197144	0.0606129	0.00161812	0.0639172	0.00327647	2.04106	4.59122e-05	0.0703387	4.86193e-05	0.0580593	0.000105573
63.10	100.0  	2.11652	0.0019328	0.0673883	0.00164948	0.0651074	0.00335748	2.05201	6.63609e-05	0.0766324	7.07023e-05	0.0570892	0.000154192
100.0	158.5  	2.144	0.00196619	0.0807168	0.00185266	0.060337	0.00399422	2.06132	9.83115e-05	0.0760005	0.000113565	0.0651277	0.000226928
158.5	251.2  	2.168	0.00206611	0.0877753	0.00191105	0.0646242	0.00410755	2.07316	0.000150746	0.0798674	0.000178781	0.0685384	0.000352881
251.2	398.1  	2.20044	0.00221673	0.102841	0.00214063	0.0525258	0.00493483	2.08659	0.000233817	0.0842803	0.000287062	0.0731951	0.000553976
398.11	630.96 	2.24244	0.00285635	0.116387	0.00276249	0.0451939	0.00802656	2.10266	0.000366056	0.0884307	0.000473314	0.0821008	0.000878115
630.96	1000.0 	2.2947	0.00351869	0.128276	0.00357028	0.0659013	0.0085013	2.12628	0.00057693	0.104024	0.000701057	0.0469025	0.00229194
1000.0	1585.0 	2.34338	0.0038159	0.145079	0.00380574	0.0579681	0.0100461	2.15045	0.000892487	0.114642	0.00107178	0.0539191	0.00339243
1585.0	2512.0 	2.42547	0.00441433	0.169624	0.00438555	0.0577318	0.0119976	2.18126	0.00140098	0.131096	0.00161422	0.0588356	0.00542458
2512.0	3981.0 	2.51861	0.00501283	0.195549	0.00545632	0.0691395	0.0124379	2.2126	0.00214301	0.142496	0.00252686	0.0744613	0.0076478
3981.0	6309.6 	2.62266	0.00520276	0.232418	0.00287865	0.000100003	0.000817667	2.25909	0.00358373	0.161203	0.00493733	0.108253	0.0125398
6309.6	10000.0	2.77408	0.00531122	0.274016	0.00246835	0.000100002	0.000756233	2.30314	0.0060043	0.176530	0.00990492	0.149491	0.021038
10000.0	31623.0	3.01913	0.00532684	0.35896		0.00278721	1.11423e-05	6.24373e-05	2.36275	0.00882341	0.206781	0.0155334	0.215996	0.0308766
