Ei(GeV)	Ef	MPVHeMC	E_MPVHeMC	SigLHeMC	ESigLHeMC	SigGHeMC	ESigGHeMC	MPVHe	E_MPVHe		SigLHe		ESigLHe		SigGHe		ESigGHe
25.12	39.81   2.07627	0.00208682	    0.0497685	    0.00151192	    0.0652959	    0.00288242  2.0313	3.50264e-05	0.0611496	3.88423e-05	0.0528923	8.73658e-05
39.81	63.10   2.09967 0.00196273      0.0607983       0.00160827      0.0632346       0.00322401  2.04107	4.60967e-05	0.068858	5.0731e-05	0.0480001	0.000123487
63.10	100.0   2.11637 0.0019156       0.0683601       0.00163331      0.0633802       0.0033499   2.05175	6.67829e-05	0.073854	7.84289e-05	0.0428863	0.000220641
100.0	158.5   2.14383 0.00197201      0.0797455       0.00185978      0.0613433       0.00389389  2.06445	9.86657e-05	0.0833598	0.000107256	0.0330889	0.000386105
158.5	251.2   2.168   0.00206612      0.0877751       0.00191105      0.0646248       0.00410753  2.07521	0.000151511	0.0849876	0.000175604	0.0409803	0.000533505
251.2	398.1   2.20116 0.00220869      0.105208        0.00209389      0.0486403       0.00518307  2.08981	0.000242689	0.0910831	0.000286995	0.0357724	0.00110035 
398.11  630.96  2.24214 0.00284682      0.117382        0.00275856      0.0399624       0.0088099   2.10627	0.000378547	0.0962835	0.000462496	0.0426113	0.001558   
630.96  1000.0  2.29477 0.00349732      0.131844        0.00350075      0.0545853       0.00939676  2.12628	0.000576928	0.104023	0.000701044	0.0469061	0.00229174 
1000.0  1585.0  2.34461 0.00379933      0.147978        0.00369882      0.0524529       0.0108069   2.15045	0.000892483	0.114641	0.00107176	0.0539233	0.00339215 
1585.0  2512.0  2.42712 0.004365        0.172734        0.00416174      0.0515385       0.013157    2.18126	0.00140098	0.131096	0.00161419	0.0588382	0.00542425 
2512.0  3981.0  2.51778 0.00483643      0.19402 	    0.00494121      0.0716196       0.0114799   2.2126	0.00214301	0.142496	0.00252679	0.0744631	0.00764737 
3981.0  6309.6  2.62023 0.00480501      0.231428        0.0083516       0.00319731      0.00507612  2.25909	0.00358372	0.161202	0.00493719	0.108256	0.0125392  
6309.6  10000.0 2.77241 0.00519393      0.273201        0.00243918      0.000100523     0.000773672 2.31438	0.00630821	0.187898	0.00840672	0.0935145	0.0315587  
10000.0 31623.0 3.01826 0.00516972      0.359969        0.00286541      4.30903e-08     0.502297    2.36977	0.00842926	0.22636	    0.0105486	0.186464	0.0276198  
