Ei(GeV)	Ef	MPVHMC	E_MPVHMC	SigLHMC	    	ESigLHMC	SigGHMC	    	ESigGHMC	MPVH	E_MPVH	    	SigLH	    	ESigLH	    	SigGH	    	ESigGH
25.12	39.81	    1.02993 0.000218096     0.0435401       0.000178363     0.0243809       0.000473419 1.02852	    1.80477e-05	0.042685	1.72318e-05	0.023407	4.3489e-05
39.81	63.10	    1.03529 0.000250279     0.0478141       0.00020871      0.0181476       0.00068315  1.035	    2.69752e-05	0.0470043	2.57424e-05	0.0204788	7.29697e-05
63.10	100.0	    1.04385 0.000367597     0.0527768       0.000300151     0.0105637       0.00160637  1.04251	    4.22862e-05	0.0513168	3.9889e-05	0.0173875	0.000132522
100.0	158.5	    1.05331 0.000395356     0.0576945       0.00023812      1.14238e-05     0.65025     1.05164	    6.71216e-05	0.0560667	6.20804e-05	0.012799	0.000279137
158.5	251.2	    1.06584 0.000441206     0.0628632       0.000253595     1.4889e-06      7.79548e-05 1.06288	    0.000109776	0.0613983	0.000100201	0.00779206	0.000754619
251.2	398.1	    1.08046 0.000490525     0.0690138       0.000277188     3.98819e-07     5.59467e-05 1.07771	    0.000181473	0.067595	0.000119993	1.07371e-06	0.0617734
398.11	630.96      1.09821 0.000624334     0.0766516       0.000359812     4.22608e-07     9.96051e-05 1.09582	    0.000299243	0.074609	0.000193398	4.33404e-09	7.44492e-05
630.96	1000.0      1.12346 0.000907607     0.0862729       0.000486279     3.2073e-07      7.62799e-05 1.12031	    0.000502247	0.0839114	0.00031608	2.45849e-09	9.26134e-08
1000.0	1585.0      1.15269 0.00106554      0.097781        0.000563049     8.92247e-10     8.35028e-05 1.15733	    0.000820521	0.0978684	0.00049454	4.8559e-09	5.844e-08
1585.0	2512.0      1.19408 0.00117931      0.111157        0.000637957     3.57179e-09     8.8202e-05  1.19694	    0.00138061	0.112555	0.000812444	3.90118e-09	8.70098e-08
2512.0	3981.0      1.24958 0.00137455      0.128523        0.000649821     7.87397e-09     9.09113e-05 1.24609	    0.0024206	0.127711	0.00130868	7.8336e-08	7.49809e-08
3981.0	6309.6      1.31977 0.00170409      0.155055        0.000873991     1.93713e-08     9.74295e-05 1.32095	    0.00463157	0.156284	0.00263982	1.85716e-12	6.51158e-08
6309.6	10000.0     1.40949 0.00214646      0.18271 	    0.00115154      9.99985e-05     9.8505e-05  1.39518	    0.00776665	0.182615	0.00468915	4.36823e-08	5.7842e-08
10000.0	31623.0     1.59877 0.00209462      0.246757        0.00181344      0.0445749       0.00630525  1.57208	    0.018845	0.257824	0.0114645	7.92422e-08	8.23707e-08 
