Ei(GeV)	Ef	MPVHMC	E_MPVHMC	SigLHMC	    	ESigLHMC	SigGHMC	    	ESigGHMC	MPVH	E_MPVH	    	SigLH	    	ESigLH	    	SigGH	    	ESigGH
25.12	39.81   1.02677	0.000265644	    0.0524058	    0.000222903	    0.0298567	    0.000577331 1.02792 1.81419e-05     0.0415571       1.84226e-05     0.0232733       4.26871e-05 
39.81	63.10   1.04149 0.00032783      0.0608115       0.000283595     0.0254975       0.000835007 1.03451 2.69724e-05     0.0463618       2.62113e-05     0.0195069       7.2126e-05  
63.10	100.0   1.05952 0.000504588     0.0706026       0.000420385     0.0170171       0.00191754  1.04183 4.23203e-05     0.050086        4.10696e-05     0.0196408       0.000120619 
100.0	158.5   1.07967 0.000585186     0.0796526       0.00048477      0.0119239       0.00345627  1.05114 6.71674e-05     0.0556373       6.25954e-05     0.0109614       0.000301549 
158.5	251.2   1.10664 0.000652413     0.0907077       0.000378556     3.53259e-10     5.224e-05   1.0619  0.00011044      0.0599865       0.000104371     0.0125744       0.000485014 
251.2	398.1   1.14129 0.000752781     0.103496        0.000428453     2.89362e-09     5.25378e-05 1.07652 0.000183229     0.066463        0.000120593     1.58438e-10     0.0653281   
398.11  630.96  1.18203 0.000999217     0.118438        0.000582618     3.00519e-07     5.14218e-05 1.09581 0.000299224     0.0746062       0.0001933       1.24643e-06     6.44172e-05 
630.96  1000.0  1.23625 0.00149997      0.135484        0.000785207     2.5992e-08      8.38407e-05 1.12022 0.000501495     0.0836687       0.000313487     1.32861e-09     7.25531e-08 
1000.0  1585.0  1.29814 0.00179217      0.157541        0.000968914     1.628e-06       6.87425e-05 1.15492 0.000828081     0.0960724       0.000501462     1.56532e-08     7.91498e-08 
1585.0  2512.0  1.37928 0.00201714      0.180701        0.00111662      0.000999997     0.000684196 1.19576 0.00138767      0.111625        0.000819414     9.95366e-08     5.02448e-08 
2512.0  3981.0  1.47746 0.00237588      0.210222        0.0012622       2.67119e-06     5.29208e-05 1.24609 0.00242056      0.127709        0.00130866      9.82307e-08     5.30914e-08 
3981.0  6309.6  1.59551 0.0030546       0.250845        0.00169631      6.66745e-08     8.33915e-05 1.32248 0.0047645       0.160162        0.00315053      2.48938e-09     5.13397e-08 
6309.6  10000.0 1.75213 0.00492918      0.303039        0.00284117      9.13596e-05     0.00053601  1.39519 0.0077664       0.182617        0.00468899      2.81228e-09     7.58971e-08 
10000.0 31623.0 1.96876 0.00316076      0.337652        0.00369056      0.135652        0.00776986  1.57208 0.0188529       0.257824        0.0114694       2.45904e-12     9.41615e-08 
