# Emean_GeV  Emin_GeV  Emax_GeV  Counts  Flux  FluxErrStat
49.8553    39.8107    63.0957    33313168   0.446328       4.17955e-05
79.0154    63.0957    100        15817129   0.133012       1.62866e-05
125.231    100        158.489    7314724    0.0382191      6.019e-06
198.478    158.489    251.189    3356973    0.0108649      2.22257e-06
314.566    251.189    398.107    1572740    0.00309342     9.6906e-07
498.553    398.107    630.957    740624     0.000896475    8.60917e-07
790.154    630.957    1000       355207     0.000266898    2.40926e-07
1252.31    1000       1584.89    176121     8.07263e-05    1.06215e-07
1984.78    1584.89    2511.89    88203      2.458e-05      4.61141e-08
3145.66    2511.89    3981.07    44409      7.64177e-06    1.53305e-08
4985.53    3981.07    6309.57    22596      2.40696e-06    7.22455e-09
7901.54    6309.57    10000      11591      7.54632e-07    3.12612e-09
12523.1    10000      15848.9    5691       2.37645e-07    1.30381e-09
19847.8    15848.9    25118.9    2515       7.42693e-08    5.29907e-10
31456.6    25118.9    39810.7    1206       2.20817e-08    2.41277e-10
49855.3    39810.7    63095.7    542        6.1249e-09     8.61605e-11
79015.4    63095.7    100000     257        1.64584e-09    3.52968e-11
125231     100000     158489     112        4.36962e-10    1.43068e-11
198478     158489     251189     60         1.23031e-10    5.88244e-12
314566     251189     398107     25         3.69923e-11    2.25376e-12
498553     398107     630957     8          1.16254e-11    1.06295e-12
790154     630957     1e+06      10         3.37455e-12    4.50057e-13

