# Columns: Emean_GeV  Emin_GeV  Emax_GeV  Counts  Flux  FluxErrStat
49.8553        39.8107        63.0957        33313168    0.446334         4.17891e-05
79.0154        63.0957        100            15817129    0.133011         1.62832e-05
125.231        100            158.489        7314724     0.038219         6.01758e-06
198.478        158.489        251.189        3356973     0.0108649        2.22309e-06
314.566        251.189        398.107        1572740     0.00309343       9.67885e-07
498.553        398.107        630.957        740624      0.00089648       8.60293e-07
790.154        630.957        1000           355207      0.0002669        2.41241e-07
1252.31        1000           1584.89        176121      8.07254e-05      1.05992e-07
1984.78        1584.89        2511.89        88203       2.45793e-05      4.60695e-08
3145.66        2511.89        3981.07        44409       7.64177e-06      1.5323e-08
4985.53        3981.07        6309.57        22596       2.40706e-06      7.22018e-09
7901.54        6309.57        10000          11591       7.54653e-07      3.12394e-09
12523.1        10000          15848.9        5691        2.37638e-07      1.30348e-09
19847.8        15848.9        25118.9        2515        7.42648e-08      5.29965e-10
31456.6        25118.9        39810.7        1206        2.20806e-08      2.4122e-10
49855.3        39810.7        63095.7        542         6.12479e-09      8.61314e-11
79015.4        63095.7        100000         257         1.64606e-09      3.53049e-11
125231         100000         158489         112         4.37126e-10      1.43089e-11
198478         158489         251189         60          1.23065e-10      5.88955e-12
314566         251189         398107         25          3.6977e-11       2.25883e-12
498553         398107         630957         8           1.16127e-11      1.06401e-12
790154         630957         1e+06          10          3.36721e-12      4.51495e-13

