Ei(GeV)	Ef	MPVHeMC	E_MPVHeMC	SigLHeMC	ESigLHeMC	SigGHeMC	ESigGHeMC	MPVHe	E_MPVHe		SigLHe		ESigLHe		SigGHe		ESigGHe
25.12	39.81	    2.03498 0.00230942      0.0534436       0.00167315      0.0741998       0.00320762  2.03115	3.5031e-05	0.063252	3.5636e-05	0.0605155	7.39475e-05
39.81	63.10	    2.0432  0.00211485      0.0637016       0.0017246       0.0704704       0.00345977  2.04106	4.59122e-05	0.0703387	4.86193e-05	0.0580593	0.000105573
63.10	100.0	    2.04843 0.00197441      0.0705024       0.00170991      0.0657378       0.00347012  2.05201	6.63609e-05	0.0766324	7.07023e-05	0.0570892	0.000154192
100.0	158.5	    2.06478 0.00192419      0.079626        0.00180176      0.0583029       0.00394722  2.06132	9.83115e-05	0.0760005	0.000113565	0.0651277	0.000226928
158.5	251.2	    2.07601 0.00188579      0.0838472       0.00172816      0.0555344       0.00387597  2.07316	0.000150746	0.0798674	0.000178781	0.0685384	0.000352881
251.2	398.1	    2.0915  0.00193886      0.0947218       0.00181949      0.0386507       0.00493201  2.08659	0.000233817	0.0842803	0.000287062	0.0731951	0.000553976
398.11	630.96      2.11108 0.00236305      0.103231        0.00218534      0.024491        0.00966378  2.10266	0.000366056	0.0884307	0.000473314	0.0821008	0.000878115
630.96	1000.0      2.13331 0.00281287      0.111284        0.0027765       0.0411237       0.00857411  2.12628	0.00057693	0.104024	0.000701057	0.0469025	0.00229194
1000.0	1585.0      2.14626 0.0029532       0.119414        0.00269157      0.0413553       0.00719732  2.15045	0.000892487	0.114642	0.00107178	0.0539191	0.00339243
1585.0	2512.0      2.17993 0.00330385      0.137151        0.0031334       0.0261153       0.0151137   2.18126	0.00140098	0.131096	0.00161422	0.0588356	0.00542458
2512.0	3981.0      2.21197 0.00354374      0.147479        0.00356844      0.0510825       0.0106379   2.2126	0.00214301	0.142496	0.00252686	0.0744613	0.0076478
3981.0	6309.6      2.25444 0.00354899      0.175603        0.00348514      0.014178        0.0558777   2.25909	0.00358373	0.161203	0.00493733	0.108253	0.0125398
6309.6	10000.0     2.32901 0.00371426      0.20376 	    0.00379983      0.0556003       0.0144062   2.30314	0.0060043	0.176530	0.00990492	0.149491	0.021038
10000.0	31623.0     2.4399  0.00327044      0.251174        0.00370871      0.0554987       0.0229005   2.36275	0.00882341	0.206781	0.0155334	0.215996	0.0308766
