Ei(GeV)	Ef	MPVHMC	E_MPVHMC	SigLHMC	    	ESigLHMC	SigGHMC	    	ESigGHMC	MPVH	E_MPVH	    	SigLH	    	ESigLH	    	SigGH	    	ESigGH
25.12	39.81	2.23166	0.00157552	0.246163	0.00136874	0.0530645	0.00665892	2.07753	0.000101294	0.193241	6.89722e-05	4.75742e-09	6.0746e-09	
39.81	63.10	2.29594	0.00174907	0.284580	0.00113046	1.91253e-08	7.14313e-05	2.10328	0.000156158	0.208707	0.000107961	7.38815e-09	7.16813e-09 
63.10	100.0	2.37614	0.00200905	0.321117	0.0012902	1.00665e-05	0.00634325	2.13449	0.000247155	0.226127	0.000170929	3.93748e-09	5.77902e-09 
100.0	158.5	2.46881	0.00235299	0.365786	0.0015053	1.82734e-08	2.01682e-06	2.16802	0.000409122	0.240709	0.000275124	4.54142e-09	6.21561e-09 
158.5	251.2	2.60184	0.00276014	0.423030	0.00173567	3.21036e-07	6.42169e-07	2.21708	0.000666264	0.264986	0.000452029	5.68068e-09	6.7793e-09	
251.2	398.1	2.75867	0.00336322	0.488979	0.00210765	4.95377e-07	5.065e-07	2.27926	0.00111331	0.291356	0.000737904	9.15364e-09	4.76201e-09	
398.11	630.96	2.97121	0.00491472	0.571109	0.00286408	1.03553e-08	7.6808e-07	2.36154	0.00188377	0.326126	0.00122086	9.16547e-09	7.78197e-09 
630.96	1000.0	3.20868	0.00809665	0.669585	0.00466833	6.61777e-08	9.05731e-07	2.47518	0.00318365	0.376858	0.00200464	7.07323e-09	5.44078e-09 
1000.0	1585.0	3.52831	0.0102425	0.784719	0.00550855	3.26126e-07	5.12357e-07	2.64595	0.00530492	0.447744	0.0033302	7.97429e-09	7.9748e-09 	
1585.0	2512.0	3.94661	0.0127956	0.936535	0.00698936	7.00472e-08	5.63519e-07	2.84508	0.00935833	0.526167	0.00559825	8.20827e-09	8.10003e-09 
2512.0	3981.0	4.45436	0.0173234	1.111830	0.00885609	2.33933e-07	5.90241e-07	3.10718	0.0171543	0.624902	0.00968609	6.97711e-09	5.4595e-09  
3981.0	6309.6	5.0675	0.0247084	1.267590	0.011101	2.63743e-08	9.69342e-07	3.41763	0.0312406	0.748678	0.0182918	7.01237e-09	7.17846e-09 
6309.6	10000.0	6.15651	0.0446566	1.784860	0.0236518	2.09459e-07	5.93493e-07	3.877	0.0622515	0.974458	0.0382083	6.76617e-09	5.36045e-09 
10000.0	31623.0	7.05889	0.0532324	1.922550	0.0226057	8.12161e-08	5.76873e-08	4.71451	0.134404	1.379060	0.0970546	8.51974e-09	4.91606e-09 
