E(GeV)	Flux * E^2,6	Flux err up	Flux err donw	Sys Up	Sys Down
3.821740295	1.21E+05	0.00E+00	0.00E+00	5.65E+03	5.66E+03
3.95704325	1.23E+05	0.00E+00	0.00E+00	7.46E+03	1.89E+03
4.092224029	1.28E+05	0.00E+00	0.00E+00	3.70E+03	3.78E+03
4.22188075	1.32E+05	0.00E+00	0.00E+00	5.63E+03	5.66E+03
4.366108926	1.32E+05	0.00E+00	0.00E+00	7.53E+03	5.66E+03
4.509850535	1.26E+05	0.00E+00	0.00E+00	1.51E+04	1.32E+04
4.675120359	1.06E+05	0.00E+00	0.00E+00	2.63E+04	1.13E+04
4.823245381	8.49E+04	0.00E+00	0.00E+00	3.20E+04	1.89E+04
4.988017416	6.42E+04	0.00E+00	0.00E+00	3.96E+04	2.45E+04
5.152233578	5.47E+04	0.00E+00	0.00E+00	9.26E+05	3.40E+04
5.32824453	4.91E+04	0.00E+00	0.00E+00	9.13E+05	3.59E+04
5.503661694	5.09E+04	0.00E+00	0.00E+00	8.92E+05	3.96E+04
5.698510542	4.72E+04	0.00E+00	0.00E+00	8.58E+05	3.58E+04
5.886117652	4.72E+04	0.00E+00	0.00E+00	8.40E+05	3.77E+04
6.079901188	4.72E+04	0.00E+00	0.00E+00	7.83E+05	3.77E+04
