E (PeV)	Flux * E^2.75	Flux Err Up	
0.18	1.71E-06	0	0
0.22	1.68E-06	0	0
0.28	1.68E-06	0	0
0.35	1.65E-06	0	0
0.44	1.67E-06	0	0
0.57	1.67E-06	0	0
0.70	1.68E-06	0	0
0.90	1.68E-06	0	0
1.11	1.74E-06	0	0
1.43	1.78E-06	0	0
1.79	1.82E-06	0	0
2.21	1.85E-06	2.78E-08	1.39E-08
2.81	1.85E-06	2.78E-08	2.78E-08
3.56	1.82E-06	2.78E-08	2.77E-08
4.46	1.79E-06	2.78E-08	4.16E-08
5.59	1.69E-06	4.17E-08	4.16E-08
7.08	1.54E-06	5.56E-08	4.16E-08
8.87	1.24E-06	5.56E-08	5.55E-08
11.26	9.58E-07	6.94E-08	6.94E-08
